Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu31_new, , ,[' 1'],[' 3733+'],[' 1870'],"[' 1002.698s (Solving', ' 992.60s 1st Model', ' 611.85s Unsat', ' 0.00s)']",[' 996.922s'], ,[' 352320486'],"[' 7556194  (Analyzed', ' 7103491)']","[' 17866    (Average', ' 397.60 Last', ' 797803)']",[' 3964.8  '],"[' 1870     (Average Length', ' 1005.10 Splits', ' 0)']","[' 7103491  (Deleted', ' 7006782)']","[' 709      (Ratio', '   0.01%)']","[' 61117    (Ratio', '   0.86%)']","[' 7103491  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7103491  (Average', ' 48.74 Max', ' 4172 Sum', ' 346214724)']","[' 7102948  (Average', ' 48.65 Max', ' 4172 Sum', ' 345612222 Ratio', '  99.83%)']","[' 543      (Average', ' 1109.58 Max', ' 1338 Sum', ' 602502 Ratio', '   0.17%)']", ,[' 106820  '],[' 7877    '],[' 99794   '],[' 48638   '],"[' 143680   (Atom=Atom', ' 37637 Body=Body', ' 25661 Other', ' 80382)']",[' Yes'],"[' 9919     (Eliminated', '    0 Frozen', ' 9919)']","[' 7740     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.98191'],[' 0'], ,[' 423.019'],[' 0'],[' 26.1038'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51901e+09'],[' 1.34304e+09'],[' 0'],[' 1.94576e+10'],[' 0'],[' 0'],[' 2957 '],[' 5056 '],[' 8263 '],[' 3 '],[' 0 ']
Solving...,Dmu32_new, , ,[' 1'],[' 4121+'],[' 2064'],"[' 1003.345s (Solving', ' 991.46s 1st Model', ' 735.49s Unsat', ' 0.00s)']",[' 999.703s'], ,[' 313062512'],"[' 7495212  (Analyzed', ' 7104952)']","[' 18738    (Average', ' 379.17 Last', ' 463928)']",[' 3866.0  '],"[' 2064     (Average Length', ' 1110.32 Splits', ' 0)']","[' 7104952  (Deleted', ' 7024632)']","[' 917      (Ratio', '   0.01%)']","[' 50727    (Ratio', '   0.71%)']","[' 7104952  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7104952  (Average', ' 43.21 Max', ' 3773 Sum', ' 306971011)']","[' 7104406  (Average', ' 43.12 Max', ' 3773 Sum', ' 306370322 Ratio', '  99.80%)']","[' 546      (Average', ' 1100.16 Max', ' 1371 Sum', ' 600689 Ratio', '   0.20%)']", ,[' 100375  '],[' 7016    '],[' 94037   '],[' 44404   '],"[' 131210   (Atom=Atom', ' 34387 Body=Body', ' 23078 Other', ' 73745)']",[' Yes'],"[' 9266     (Eliminated', '    0 Frozen', ' 9266)']","[' 6549     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.42109'],[' 0'], ,[' 424.793'],[' 0'],[' 25.6432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36156e+09'],[' 1.19504e+09'],[' 0'],[' 1.68525e+10'],[' 0'],[' 0'],[' 3061 '],[' 4979 '],[' 7715 '],[' 3 '],[' 0 ']
Solving...,Dmu33_new, , ,[' 1'],[' 3591+'],[' 1799'],"[' 1000.557s (Solving', ' 989.74s 1st Model', ' 336.57s Unsat', ' 0.00s)']",[' 1003.359s'], ,[' 333023475'],"[' 7031833  (Analyzed', ' 6641634)']","[' 14449    (Average', ' 459.66 Last', ' 329787)']",[' 4298.0  '],"[' 1799     (Average Length', ' 959.60 Splits', ' 0)']","[' 6641634  (Deleted', ' 6533171)']","[' 644      (Ratio', '   0.01%)']","[' 70874    (Ratio', '   1.07%)']","[' 6641634  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6641634  (Average', ' 49.18 Max', ' 4463 Sum', ' 326653221)']","[' 6641018  (Average', ' 49.09 Max', ' 4463 Sum', ' 326013246 Ratio', '  99.80%)']","[' 616      (Average', ' 1038.92 Max', ' 1195 Sum', ' 639975 Ratio', '   0.20%)']", ,[' 110010  '],[' 8350    '],[' 102812  '],[' 50668   '],"[' 150371   (Atom=Atom', ' 39458 Body=Body', ' 27080 Other', ' 83833)']",[' Yes'],"[' 10335    (Eliminated', '    0 Frozen', ' 10335)']","[' 8847     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.13671'],[' 0'], ,[' 399.325'],[' 0'],[' 26.0324'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41425e+09'],[' 1.27418e+09'],[' 0'],[' 1.60714e+10'],[' 0'],[' 0'],[' 3163 '],[' 5437 '],[' 8491 '],[' 3 '],[' 0 ']
Solving...,Dmu34_new, , ,[' 1'],[' 3493+'],[' 1750'],"[' 1003.289s (Solving', ' 992.00s 1st Model', ' 356.25s Unsat', ' 0.00s)']",[' 999.266s'], ,[' 299344107'],"[' 6242867  (Analyzed', ' 5902491)']","[' 13717    (Average', ' 430.30 Last', ' 448242)']",[' 4060.6  '],"[' 1750     (Average Length', ' 950.79 Splits', ' 0)']","[' 5902491  (Deleted', ' 5805544)']","[' 710      (Ratio', '   0.01%)']","[' 59075    (Ratio', '   1.00%)']","[' 5902491  (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5902491  (Average', ' 49.74 Max', ' 4189 Sum', ' 293606294)']","[' 5901902  (Average', ' 49.64 Max', ' 4189 Sum', ' 293019093 Ratio', '  99.80%)']","[' 589      (Average', ' 996.95 Max', ' 1183 Sum', ' 587201 Ratio', '   0.20%)']", ,[' 105660  '],[' 7793    '],[' 98635   '],[' 47954   '],"[' 141906   (Atom=Atom', ' 37181 Body=Body', ' 25409 Other', ' 79316)']",[' Yes'],"[' 9746     (Eliminated', '    0 Frozen', ' 9746)']","[' 8002     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.2112'],[' 0'], ,[' 405.026'],[' 0'],[' 24.9371'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27872e+09'],[' 1.13484e+09'],[' 0'],[' 1.50882e+10'],[' 0'],[' 0'],[' 3220 '],[' 5078 '],[' 8431 '],[' 3 '],[' 0 ']
Solving...,Dmu35_new, , ,[' 1'],[' 4049+'],[' 2028'],"[' 1003.584s (Solving', ' 991.06s 1st Model', ' 872.87s Unsat', ' 0.00s)']",[' 998.797s'], ,[' 309099912'],"[' 5725085  (Analyzed', ' 5350660)']","[' 16237    (Average', ' 329.54 Last', ' 428382)']",[' 3871.7  '],"[' 2028     (Average Length', ' 1079.22 Splits', ' 0)']","[' 5350660  (Deleted', ' 5269773)']","[' 718      (Ratio', '   0.01%)']","[' 54509    (Ratio', '   1.02%)']","[' 5350660  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5350660  (Average', ' 56.64 Max', ' 3843 Sum', ' 303062089)']","[' 5350158  (Average', ' 56.53 Max', ' 3843 Sum', ' 302483017 Ratio', '  99.81%)']","[' 502      (Average', ' 1153.53 Max', ' 1378 Sum', ' 579072 Ratio', '   0.19%)']", ,[' 102344  '],[' 7262    '],[' 95821   '],[' 45650   '],"[' 134790   (Atom=Atom', ' 35335 Body=Body', ' 23816 Other', ' 75639)']",[' Yes'],"[' 9464     (Eliminated', '    0 Frozen', ' 9464)']","[' 6540     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.45557'],[' 0'], ,[' 387.021'],[' 0'],[' 25.6033'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33809e+09'],[' 1.18057e+09'],[' 0'],[' 1.26701e+10'],[' 0'],[' 0'],[' 2880 '],[' 4846 '],[' 7538 '],[' 3 '],[' 0 ']
Solving...,Dmu71_new, , ,[' 1'],[' 3637+'],[' 1822'],"[' 1002.791s (Solving', ' 993.04s 1st Model', ' 151.39s Unsat', ' 0.00s)']",[' 993.078s'], ,[' 276809341'],"[' 12873383 (Analyzed', ' 12528539)']","[' 24310    (Average', ' 515.37 Last', ' 132071)']",[' 3429.8  '],"[' 1822     (Average Length', ' 979.71 Splits', ' 0)']","[' 12528539 (Deleted', ' 12407871)']","[' 272      (Ratio', '   0.00%)']","[' 29859    (Ratio', '   0.24%)']","[' 12528539 (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12528539 (Average', ' 21.70 Max', ' 3466 Sum', ' 271843541)']","[' 12528043 (Average', ' 21.65 Max', ' 3368 Sum', ' 271283355 Ratio', '  99.79%)']","[' 496      (Average', ' 1129.41 Max', ' 1322 Sum', ' 560186 Ratio', '   0.21%)']", ,[' 92526   '],[' 5990    '],[' 86387   '],[' 39155   '],"[' 115234   (Atom=Atom', ' 30041 Body=Body', ' 20000 Other', ' 65193)']",[' Yes'],"[' 7983     (Eliminated', '    0 Frozen', ' 7983)']","[' 5037     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.07307'],[' 0'], ,[' 524.617'],[' 0'],[' 25.5784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0001e+09'],[' 8.33762e+08'],[' 0'],[' 2.45934e+10'],[' 0'],[' 0'],[' 2021 '],[' 3965 '],[' 6120 '],[' 3 '],[' 0 ']
Solving...,Dmu72_new, , ,[' 1'],[' 4317+'],[' 2162'],"[' 1002.944s (Solving', ' 991.72s 1st Model', ' 132.30s Unsat', ' 0.00s)']",[' 998.000s'], ,[' 296261633'],"[' 15212647 (Analyzed', ' 14778405)']","[' 27742    (Average', ' 532.71 Last', ' 179230)']",[' 3717.6  '],"[' 2162     (Average Length', ' 1130.65 Splits', ' 0)']","[' 14778405 (Deleted', ' 14633530)']","[' 384      (Ratio', '   0.00%)']","[' 31612    (Ratio', '   0.21%)']","[' 14778405 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14778405 (Average', ' 19.63 Max', ' 3556 Sum', ' 290119684)']","[' 14777887 (Average', ' 19.59 Max', ' 3286 Sum', ' 289526986 Ratio', '  99.80%)']","[' 518      (Average', ' 1144.20 Max', ' 1361 Sum', ' 592698 Ratio', '   0.20%)']", ,[' 92722   '],[' 5962    '],[' 86913   '],[' 39368   '],"[' 115814   (Atom=Atom', ' 30269 Body=Body', ' 19916 Other', ' 65629)']",[' Yes'],"[' 8276     (Eliminated', '    0 Frozen', ' 8276)']","[' 5005     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.45906'],[' 0'], ,[' 526.99'],[' 0'],[' 27.2383'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.98761e+08'],[' 8.20946e+08'],[' 0'],[' 2.45075e+10'],[' 0'],[' 0'],[' 1935 '],[' 3855 '],[' 6018 '],[' 3 '],[' 0 ']
Solving...,Dmu73_new, , ,[' 1'],[' 4189+'],[' 2098'],"[' 1003.074s (Solving', ' 991.81s 1st Model', ' 243.67s Unsat', ' 0.00s)']",[' 1000.391s'], ,[' 363044586'],"[' 9627464  (Analyzed', ' 9170955)']","[' 19759    (Average', ' 464.14 Last', ' 456492)']",[' 3661.4  '],"[' 2098     (Average Length', ' 1122.04 Splits', ' 0)']","[' 9170955  (Deleted', ' 9093096)']","[' 391      (Ratio', '   0.00%)']","[' 33778    (Ratio', '   0.37%)']","[' 9170955  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9170955  (Average', ' 38.95 Max', ' 3505 Sum', ' 357186012)']","[' 9170465  (Average', ' 38.89 Max', ' 3362 Sum', ' 356615721 Ratio', '  99.84%)']","[' 490      (Average', ' 1163.86 Max', ' 3147 Sum', ' 570291 Ratio', '   0.16%)']", ,[' 92791   '],[' 5972    '],[' 86925   '],[' 39361   '],"[' 115762   (Atom=Atom', ' 30245 Body=Body', ' 19946 Other', ' 65571)']",[' Yes'],"[' 8233     (Eliminated', '    0 Frozen', ' 8233)']","[' 4700     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.46663'],[' 0'], ,[' 445.934'],[' 0'],[' 29.2279'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.346e+09'],[' 1.1378e+09'],[' 0'],[' 1.81628e+10'],[' 0'],[' 0'],[' 1987 '],[' 4093 '],[' 6220 '],[' 3 '],[' 0 ']
Solving...,Dmu74_new, , ,[' 1'],[' 4081+'],[' 2044'],"[' 1002.538s (Solving', ' 992.72s 1st Model', ' 380.46s Unsat', ' 0.00s)']",[' 998.703s'], ,[' 301426312'],"[' 12215156 (Analyzed', ' 11846103)']","[' 25872    (Average', ' 457.87 Last', ' 734433)']",[' 3575.0  '],"[' 2044     (Average Length', ' 1069.55 Splits', ' 0)']","[' 11846103 (Deleted', ' 11771487)']","[' 516      (Ratio', '   0.00%)']","[' 30970    (Ratio', '   0.26%)']","[' 11846103 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11846103 (Average', ' 24.98 Max', ' 3681 Sum', ' 295866644)']","[' 11845499 (Average', ' 24.92 Max', ' 3352 Sum', ' 295256058 Ratio', '  99.79%)']","[' 604      (Average', ' 1010.90 Max', ' 1622 Sum', ' 610586 Ratio', '   0.21%)']", ,[' 92580   '],[' 5945    '],[' 86682   '],[' 39173   '],"[' 115176   (Atom=Atom', ' 30083 Body=Body', ' 19865 Other', ' 65228)']",[' Yes'],"[' 8158     (Eliminated', '    0 Frozen', ' 8158)']","[' 4916     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.12199'],[' 0'], ,[' 525.731'],[' 0'],[' 26.8853'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12879e+09'],[' 9.43768e+08'],[' 0'],[' 2.67129e+10'],[' 0'],[' 0'],[' 1998 '],[' 4032 '],[' 5894 '],[' 3 '],[' 0 ']
Solving...,Dmu75_new, , , ,[' 3971'],[' 1989'],"[' 702.314s (Solving', ' 691.65s 1st Model', ' 207.02s Unsat', ' 0.02s)']",[' 700.938s'], ,[' 247894261'],"[' 6283115  (Analyzed', ' 5905657)']","[' 13127    (Average', ' 449.89 Last', ' 555347)']",[' 3561.4  '],"[' 1989     (Average Length', ' 1068.67 Splits', ' 0)']","[' 5905657  (Deleted', ' 5839518)']","[' 291      (Ratio', '   0.00%)']","[' 29046    (Ratio', '   0.49%)']","[' 5905657  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5905657  (Average', ' 41.09 Max', ' 3391 Sum', ' 242680557)']","[' 5905128  (Average', ' 40.99 Max', ' 3253 Sum', ' 242096095 Ratio', '  99.76%)']","[' 529      (Average', ' 1104.84 Max', ' 1371 Sum', ' 584462 Ratio', '   0.24%)']", ,[' 92805   '],[' 5991    '],[' 86830   '],[' 39331   '],"[' 115699   (Atom=Atom', ' 30212 Body=Body', ' 20003 Other', ' 65484)']",[' Yes'],"[' 8146     (Eliminated', '    0 Frozen', ' 8146)']","[' 5301     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.34166'],[' 0'], ,[' 276.296'],[' 0'],[' 19.9168'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.77919e+08'],[' 8.3002e+08'],[' 0'],[' 8.55648e+09'],[' 0'],[' 0'],[' 2108 '],[' 4178 '],[' 6203 '],[' 2 '],[' 1 ']
