Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu31_new, , ,[' 1'],[' 3587+'],[' 1797'],"[' 1003.099s (Solving', ' 991.83s 1st Model', ' 107.10s Unsat', ' 0.00s)']",[' 997.797s'], ,[' 373356584'],"[' 7315474  (Analyzed', ' 7024490)']","[' 14341    (Average', ' 489.82 Last', ' 73396)']",[' 4562.7  '],"[' 1797     (Average Length', ' 949.63 Splits', ' 0)']","[' 7024490  (Deleted', ' 6895606)']","[' 771      (Ratio', '   0.01%)']","[' 82690    (Ratio', '   1.18%)']","[' 7024490  (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7024490  (Average', ' 52.18 Max', ' 4529 Sum', ' 366532364)']","[' 7023880  (Average', ' 52.10 Max', ' 4529 Sum', ' 365965384 Ratio', '  99.85%)']","[' 610      (Average', ' 929.48 Max', ' 1061 Sum', ' 566980 Ratio', '   0.15%)']", ,[' 113397  '],[' 8863    '],[' 105897  '],[' 53271   '],"[' 158059   (Atom=Atom', ' 41508 Body=Body', ' 28619 Other', ' 87932)']",[' Yes'],"[' 10857    (Eliminated', '    0 Frozen', ' 10857)']","[' 10073    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.12009'],[' 0'], ,[' 377.8'],[' 0'],[' 26.2331'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65952e+09'],[' 1.49371e+09'],[' 0'],[' 1.67037e+10'],[' 0'],[' 0'],[' 3914 '],[' 5734 '],[' 9012 '],[' 3 '],[' 0 ']
Solving...,Dmu32_new, , ,[' 1'],[' 3321+'],[' 1664'],"[' 1002.900s (Solving', ' 992.10s 1st Model', ' 238.77s Unsat', ' 0.00s)']",[' 1000.313s'], ,[' 365615745'],"[' 8044609  (Analyzed', ' 7685549)']","[' 16347    (Average', ' 470.15 Last', ' 345196)']",[' 4631.5  '],"[' 1664     (Average Length', ' 896.64 Splits', ' 0)']","[' 7685549  (Deleted', ' 7551308)']","[' 665      (Ratio', '   0.01%)']","[' 86394    (Ratio', '   1.12%)']","[' 7685549  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7685549  (Average', ' 46.70 Max', ' 4995 Sum', ' 358939812)']","[' 7684885  (Average', ' 46.63 Max', ' 4995 Sum', ' 358379790 Ratio', '  99.84%)']","[' 664      (Average', ' 843.41 Max', ' 1004 Sum', ' 560022 Ratio', '   0.16%)']", ,[' 117161  '],[' 9342    '],[' 109290  '],[' 55505   '],"[' 164888   (Atom=Atom', ' 43287 Body=Body', ' 30052 Other', ' 91549)']",[' Yes'],"[' 11208    (Eliminated', '    0 Frozen', ' 11208)']","[' 10513    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.02248'],[' 0'], ,[' 395.759'],[' 0'],[' 25.2637'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60814e+09'],[' 1.44908e+09'],[' 0'],[' 1.92083e+10'],[' 0'],[' 0'],[' 3978 '],[' 6156 '],[' 9438 '],[' 3 '],[' 0 ']
Solving...,Dmu33_new, , ,[' 1'],[' 3489+'],[' 1748'],"[' 1003.281s (Solving', ' 991.64s 1st Model', ' 150.24s Unsat', ' 0.00s)']",[' 1000.438s'], ,[' 337231786'],"[' 7224036  (Analyzed', ' 6749782)']","[' 13862    (Average', ' 486.93 Last', ' 145653)']",[' 4643.8  '],"[' 1748     (Average Length', ' 940.31 Splits', ' 0)']","[' 6749782  (Deleted', ' 6631389)']","[' 593      (Ratio', '   0.01%)']","[' 79154    (Ratio', '   1.17%)']","[' 6749782  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6749782  (Average', ' 48.92 Max', ' 4859 Sum', ' 330213327)']","[' 6749089  (Average', ' 48.82 Max', ' 4859 Sum', ' 329538893 Ratio', '  99.80%)']","[' 693      (Average', ' 973.21 Max', ' 1175 Sum', ' 674434 Ratio', '   0.20%)']", ,[' 116335  '],[' 9208    '],[' 108556  '],[' 54996   '],"[' 163136   (Atom=Atom', ' 42821 Body=Body', ' 29650 Other', ' 90665)']",[' Yes'],"[' 11132    (Eliminated', '    0 Frozen', ' 11132)']","[' 9985     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.22842'],[' 0'], ,[' 418.148'],[' 0'],[' 25.9568'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35567e+09'],[' 1.22069e+09'],[' 0'],[' 1.92106e+10'],[' 0'],[' 0'],[' 3895 '],[' 6073 '],[' 9433 '],[' 3 '],[' 0 ']
Solving...,Dmu34_new, , ,[' 1'],[' 3541+'],[' 1774'],"[' 1003.282s (Solving', ' 991.25s 1st Model', ' 105.42s Unsat', ' 0.00s)']",[' 1000.500s'], ,[' 321498304'],"[' 8360517  (Analyzed', ' 7959082)']","[' 15854    (Average', ' 502.02 Last', ' 148041)']",[' 4666.3  '],"[' 1774     (Average Length', ' 933.96 Splits', ' 0)']","[' 7959082  (Deleted', ' 7835330)']","[' 684      (Ratio', '   0.01%)']","[' 75808    (Ratio', '   0.95%)']","[' 7959082  (Average Length', '   21.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7959082  (Average', ' 39.49 Max', ' 4598 Sum', ' 314314409)']","[' 7958419  (Average', ' 39.41 Max', ' 4598 Sum', ' 313689614 Ratio', '  99.80%)']","[' 663      (Average', ' 942.38 Max', ' 1055 Sum', ' 624795 Ratio', '   0.20%)']", ,[' 113351  '],[' 8859    '],[' 105891  '],[' 53089   '],"[' 157847   (Atom=Atom', ' 41469 Body=Body', ' 28606 Other', ' 87772)']",[' Yes'],"[' 10825    (Eliminated', '    0 Frozen', ' 10825)']","[' 9420     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.22495'],[' 0'], ,[' 427.811'],[' 0'],[' 24.5544'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35957e+09'],[' 1.22013e+09'],[' 0'],[' 1.96394e+10'],[' 0'],[' 0'],[' 3823 '],[' 5981 '],[' 9451 '],[' 3 '],[' 0 ']
Solving...,Dmu35_new, , ,[' 1'],[' 3123+'],[' 1565'],"[' 1003.419s (Solving', ' 991.69s 1st Model', ' 315.64s Unsat', ' 0.00s)']",[' 1001.266s'], ,[' 298763659'],"[' 7592688  (Analyzed', ' 7202371)']","[' 14262    (Average', ' 505.00 Last', ' 92557)']",[' 4729.6  '],"[' 1565     (Average Length', ' 827.44 Splits', ' 0)']","[' 7202371  (Deleted', ' 7076650)']","[' 555      (Ratio', '   0.01%)']","[' 75424    (Ratio', '   1.05%)']","[' 7202371  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7202371  (Average', ' 40.58 Max', ' 5010 Sum', ' 292298653)']","[' 7201646  (Average', ' 40.50 Max', ' 5010 Sum', ' 291694173 Ratio', '  99.79%)']","[' 725      (Average', ' 833.77 Max', ' 928 Sum', ' 604480 Ratio', '   0.21%)']", ,[' 114519  '],[' 9098    '],[' 106782  '],[' 53887   '],"[' 160603   (Atom=Atom', ' 42196 Body=Body', ' 29322 Other', ' 89085)']",[' Yes'],"[' 10842    (Eliminated', '    0 Frozen', ' 10842)']","[' 9587     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.14385'],[' 0'], ,[' 414.802'],[' 0'],[' 24.343'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20834e+09'],[' 1.09064e+09'],[' 0'],[' 1.77698e+10'],[' 0'],[' 0'],[' 4147 '],[' 6711 '],[' 9404 '],[' 3 '],[' 0 ']
Solving...,Dmu71_new, , ,[' 1'],[' 4125+'],[' 2066'],"[' 63320.420s (Solving', ' 63308.86s 1st Model', ' 99.55s Unsat', ' 0.00s)']",[' 984.906s'], ,[' 288696306'],"[' 12908231 (Analyzed', ' 12339290)']","[' 22471    (Average', ' 549.12 Last', ' 67826)']",[' 3845.6  '],"[' 2066     (Average Length', ' 1100.46 Splits', ' 0)']","[' 12339290 (Deleted', ' 12246053)']","[' 646      (Ratio', '   0.01%)']","[' 29591    (Ratio', '   0.24%)']","[' 12339290 (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12339290 (Average', ' 22.88 Max', ' 3556 Sum', ' 282305402)']","[' 12338857 (Average', ' 22.84 Max', ' 3544 Sum', ' 281801129 Ratio', '  99.82%)']","[' 433      (Average', ' 1164.60 Max', ' 1394 Sum', ' 504273 Ratio', '   0.18%)']", ,[' 92531   '],[' 6005    '],[' 86626   '],[' 39430   '],"[' 116204   (Atom=Atom', ' 30345 Body=Body', ' 20045 Other', ' 65814)']",[' Yes'],"[' 8246     (Eliminated', '    0 Frozen', ' 8246)']","[' 4222     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.35231'],[' 0'], ,[' 502.186'],[' 0'],[' 25.3997'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00137e+09'],[' 8.30634e+08'],[' 0'],[' 2.18347e+10'],[' 0'],[' 0'],[' 2350 '],[' 4396 '],[' 6386 '],[' 3 '],[' 0 ']
Solving...,Dmu72_new, , ,[' 1'],[' 4833+'],[' 2420'],"[' 1003.015s (Solving', ' 990.64s 1st Model', ' 674.35s Unsat', ' 0.00s)']",[' 1000.031s'], ,[' 308121635'],"[' 14445072 (Analyzed', ' 13769425)']","[' 32547    (Average', ' 423.06 Last', ' 927518)']",[' 4075.3  '],"[' 2420     (Average Length', ' 1258.17 Splits', ' 0)']","[' 13769425 (Deleted', ' 13668219)']","[' 643      (Ratio', '   0.00%)']","[' 29210    (Ratio', '   0.21%)']","[' 13769425 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13769425 (Average', ' 21.81 Max', ' 3650 Sum', ' 300359754)']","[' 13768947 (Average', ' 21.78 Max', ' 3650 Sum', ' 299845573 Ratio', '  99.83%)']","[' 478      (Average', ' 1075.69 Max', ' 1484 Sum', ' 514181 Ratio', '   0.17%)']", ,[' 93154   '],[' 5994    '],[' 87608   '],[' 39741   '],"[' 117074   (Atom=Atom', ' 30655 Body=Body', ' 20012 Other', ' 66407)']",[' Yes'],"[' 8563     (Eliminated', '    0 Frozen', ' 8563)']","[' 4399     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.60827'],[' 0'], ,[' 505.3'],[' 0'],[' 25.869'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10625e+09'],[' 9.02015e+08'],[' 0'],[' 2.20466e+10'],[' 0'],[' 0'],[' 2024 '],[' 4245 '],[' 6254 '],[' 3 '],[' 0 ']
Solving...,Dmu73_new, , ,[' 1'],[' 4145+'],[' 2076'],"[' 1003.439s (Solving', ' 991.73s 1st Model', ' 98.93s Unsat', ' 0.00s)']",[' 1000.328s'], ,[' 264749548'],"[' 12635024 (Analyzed', ' 12037066)']","[' 21319    (Average', ' 564.62 Last', ' 266003)']",[' 3949.9  '],"[' 2076     (Average Length', ' 1101.76 Splits', ' 0)']","[' 12037066 (Deleted', ' 11952529)']","[' 571      (Ratio', '   0.00%)']","[' 26277    (Ratio', '   0.22%)']","[' 12037066 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12037066 (Average', ' 21.45 Max', ' 3694 Sum', ' 258160369)']","[' 12036595 (Average', ' 21.40 Max', ' 3630 Sum', ' 257649845 Ratio', '  99.80%)']","[' 471      (Average', ' 1083.92 Max', ' 1566 Sum', ' 510524 Ratio', '   0.20%)']", ,[' 92596   '],[' 6008    '],[' 86728   '],[' 39438   '],"[' 116260   (Atom=Atom', ' 30367 Body=Body', ' 20054 Other', ' 65839)']",[' Yes'],"[' 8276     (Eliminated', '    0 Frozen', ' 8276)']","[' 4064     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.37175'],[' 0'], ,[' 507.476'],[' 0'],[' 24.3343'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.66255e+08'],[' 7.99621e+08'],[' 0'],[' 2.07895e+10'],[' 0'],[' 0'],[' 2224 '],[' 4487 '],[' 6712 '],[' 3 '],[' 0 ']
Solving...,Dmu74_new, , ,[' 1'],[' 3773+'],[' 1890'],"[' 1002.656s (Solving', ' 992.74s 1st Model', ' 19.31s Unsat', ' 0.00s)']",[' 998.422s'], ,[' 284996757'],"[' 16087371 (Analyzed', ' 15587184)']","[' 27100    (Average', ' 575.17 Last', ' 254532)']",[' 3897.2  '],"[' 1890     (Average Length', ' 996.31 Splits', ' 0)']","[' 15587184 (Deleted', ' 15449069)']","[' 710      (Ratio', '   0.00%)']","[' 29359    (Ratio', '   0.19%)']","[' 15587184 (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15587184 (Average', ' 17.88 Max', ' 3552 Sum', ' 278685153)']","[' 15586662 (Average', ' 17.85 Max', ' 3552 Sum', ' 278170143 Ratio', '  99.82%)']","[' 522      (Average', ' 986.61 Max', ' 1119 Sum', ' 515010 Ratio', '   0.18%)']", ,[' 92647   '],[' 6054    '],[' 86550   '],[' 39479   '],"[' 116418   (Atom=Atom', ' 30365 Body=Body', ' 20192 Other', ' 65861)']",[' Yes'],"[' 8122     (Eliminated', '    0 Frozen', ' 8122)']","[' 4236     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.12557'],[' 0'], ,[' 556.166'],[' 0'],[' 25.5806'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.53393e+08'],[' 7.05806e+08'],[' 0'],[' 2.84521e+10'],[' 0'],[' 0'],[' 2549 '],[' 5060 '],[' 6977 '],[' 3 '],[' 0 ']
Solving...,Dmu75_new, , ,[' 1'],[' 4387+'],[' 2197'],"[' 737.464s (Solving', ' 725.80s 1st Model', ' 105.13s Unsat', ' 1.44s)']",[' 734.672s'], ,[' 219422102'],"[' 8977957  (Analyzed', ' 8117418)']","[' 17781    (Average', ' 456.52 Last', ' 169853)']",[' 4152.4  '],"[' 2197     (Average Length', ' 1153.10 Splits', ' 0)']","[' 8117418  (Deleted', ' 8041182)']","[' 528      (Ratio', '   0.01%)']","[' 25204    (Ratio', '   0.31%)']","[' 8117418  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8117418  (Average', ' 26.12 Max', ' 3986 Sum', ' 212058094)']","[' 8116934  (Average', ' 26.06 Max', ' 3986 Sum', ' 211535438 Ratio', '  99.75%)']","[' 484      (Average', ' 1079.87 Max', ' 1397 Sum', ' 522656 Ratio', '   0.25%)']", ,[' 92677   '],[' 6005    '],[' 86872   '],[' 39575   '],"[' 116615   (Atom=Atom', ' 30476 Body=Body', ' 20045 Other', ' 66094)']",[' Yes'],"[' 8353     (Eliminated', '    0 Frozen', ' 8353)']","[' 2988     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.45989'],[' 0'], ,[' 384.818'],[' 0'],[' 19.3154'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.59409e+08'],[' 5.50644e+08'],[' 0'],[' 1.69747e+10'],[' 0'],[' 0'],[' 2223 '],[' 4505 '],[' 6440 '],[' 2 '],[' 1 ']
